timeH,eventCode,eAvailableMWh,eSourceUsedMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,eCableReceivedMWh,h2DeliveredKg,eComputeServiceMWhCS,eCurtailmentMWh,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,exitflag,auditPass,strategyId,realizedElectricityShare,realizedHydrogenShare,realizedComputeShare,ratioActive,forecastMode,priorAvailableMW,posteriorAvailableMW,planningAvailableMW,forecastErrorMW,plannedElectricityShare,plannedHydrogenShare,plannedComputeShare,rawPlannedElectricityShare,rawPlannedHydrogenShare,rawPlannedComputeShare,plannedRatioActive,planHeldByDeadband,planShareChangeL1,eventRiskLevel,riskQuantile,bessReserveTargetSOC,bessReserveShortfallMWh,planStatus,planFallbackUsed,planFallbackMessage,reliabilityRelaxationUsed,minimumFeasibleENSMWh,pSourceAvailableMW,pSourceUsedMW,pCurtailmentMW,pBessChargeMW,pBessDischargeMW,bessSOC,pElectrolyzerMW,h2InventoryKg,pH2PowerMW,pCableSendMW,pComputeFacilityMW,pMarineUnservedMW,pInternalUnservedMW,pWindAvailableMW,pPVAvailableMW,pTidalAvailableMW
20,NORMAL,337.7668,221.13,200,0,0,184,0,0,116.6368,0,119480,4422.6,-115057.4,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,337.7668,221.13,116.6368,0,0,0.89375,0,0,0,200,0,0,0,337.7668,0,0
21,NORMAL,378.868,221.13,200,0,0,184,0,0,157.738,0,119480,4422.6,-115057.4,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,378.868,221.13,157.738,0,0,0.89375,0,0,0,200,0,0,0,378.868,0,0
22,NORMAL,405.818,221.13,200,0,0,184,0,0,184.688,0,71640,4422.6,-67217.4,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,405.818,221.13,184.688,0,0,0.89375,0,0,0,200,0,0,0,405.818,0,0
23,NORMAL,417.821202285986,221.13,200,0,0,184,0,0,196.691202285986,0,71640,4422.6,-67217.4,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,417.821202285986,221.13,196.691202285986,0,0,0.89375,0,0,0,200,0,0,0,416.598,1.22320228598591,0
24,NORMAL,418.708896984047,221.49,200,0,0,184,0,0,197.218896984047,0,49560,4429.8,-45130.2,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,418.708896984047,221.49,197.218896984047,0,0,0.89375,0,0,0,200,0,0,0,407.974,10.0928515537293,0.642045430317657
25,NORMAL,403.223447699215,221.49,200,0,0,184,0,0,181.733447699215,0,49560,4429.8,-45130.2,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,403.223447699215,221.49,181.733447699215,0,0,0.89375,0,0,0,200,0,0,0,383.18,18.7107751458502,1.33267255336529
26,NORMAL,371.721150402731,221.49,200,0,0,184,0,0,150.231150402731,0,49560,4429.8,-45130.2,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,371.721150402731,221.49,150.231150402731,0,0,0.89375,0,0,0,200,0,0,0,343.3528,26.205879733197,2.16247066953362
27,NORMAL,336.137483719948,221.49,200,0,0,184,0,0,114.647483719948,0,49560,4429.8,-45130.2,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,336.137483719948,221.49,114.647483719948,0,0,0.89375,0,0,0,200,0,0,0,303.1336,29.6424683886943,3.36141533125378
28,NORMAL,304.28443342613,221.49,200,0,0,184,0,0,82.7944334261302,0,49560,4429.8,-45130.2,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,304.28443342613,221.49,82.7944334261302,0,0,0.89375,0,0,0,200,0,0,0,267.3832,32.0790056675636,4.82222775856656
29,NORMAL,269.666241393465,221.49,200,0,0,184,0,0,48.1762413934648,0,49560,4429.8,-45130.2,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,269.666241393465,221.49,48.1762413934648,0,0,0.89375,0,0,0,200,0,0,0,230.5156,32.6671706192983,6.48347077416645
